번호,등록번호,서명,저자,출판사,출판년도,
219,BSL00000230,"내가 이유인 것 같아서,전자책  : 이우성 시집",이우성 지음,문학과지성사,2023,
220,BSL00000231,그러면 치킨도 안 먹어요? : 이현우 에세이,이현우 지음,걷는사람,2023,
221,BSL00000232,"어머니를 돌보다  : 의무,  사랑,  죽음 그리고 양가감정에 대하여","린 틸먼 지음,방진이 옮김",돌베개,2023,
222,BSL00000233,"사막아,  사슴아  : 최윤 산문집",최윤,문학과지성사,2023,
223,BSL00000234,더러운 페미니즘  : 심진경 비평집,심진경,민음사,2023,
224,BSL00000235,"무정설법,  자연이 쓴 경전을 읽다",최성현 지음,판미동,2024,
225,BSL00000236,몽상과 거울,양안다,아침달,2024,
226,BSL00000237,아버지 이가 하얗다 : 선욱현 다섯번째 희곡집,선욱현 지음,모시는사람들,2024,
227,BSL00000238,"마음,  스밈  : 김선규 사진 명상 에세이",김선규,ㄱ(기역),2023,
228,BSL00000239,"세종 복지의 문법 : 부유한 나라의 가난한 정부,  가난한 국민","김용익,이창곤,김태일 공지음",한겨레,2022,
229,BSL00000240,세 신경다양성 교실 : 단 한 명도 놓치지 않는 통합교육의 시작,김명희 지음,새로온봄,2022,
230,BSL00000241,세종교양 아이를 함께 키울 온 마을은 어떻게 만들어야 할까?,차상진 지음,살림터,2023,
231,BSL00000242,세종교양 아픈 이의 곁에 있다는 것,"김형숙,윤수진 지음",팜파스,2022,
232,BSL00000243,"세 액체 세대의 삶 : 생명처럼 강하고,  사랑처럼 유동적인","토마스 레온치니 지음,김지우 옮김",이유,2023,
233,BSL00000244,"어딘가에는 살고 싶은 바다,  섬마을이 있다",윤미숙,남해의봄날,2023,
