번호,등록번호,서명,저자,출판사,출판년도,
1036,BSL00682,"멈추면,  비로소 보이는 것들  : 혜민 스님과 함께하는 내 마음 다시보기","혜민 지음,우창헌 그림",쌤앤파커스,2012,
1037,BSL00683,"백전불패 프레젠테이션 : 어느 자리에서나 예스를 이끌어내는 프레젠테이션 테크닉 77,전자책",김미성 지음,미르북스,2012,
1038,BSL00684,"커넥톰,  뇌의 지도","승현준 지음,신상규 옮김",김영사,2016,
1039,BSL00685,10퍼센트 인간  : 인간 마이크로바이옴 프로젝트로 보는 미생물의 과학,"앨러나 콜렌 지음,조은영 옮김",시공사,2016,
1040,BSL00686,(취준생부터 CEO까지)김남규의 직장종합영어,김남규 지음,김남규외국어,2018,
1041,BSL00687,(취준생부터 CEO까지)김남규의 직장종합영어,김남규 지음,김남규외국어,2018,
1042,BSL00688,디즈니 OST 잉글리시 : 디즈니 OST 22곡으로 초등영어 완성하기,서영조 해설,길벗스쿨,2018,
1043,BSL00689,악어랑 함께 살거야,"파울 판 론 글,유미영 옮김,김용철 그림",푸른나무,2002,
1044,BSL00690,세상을 바꾼 위대한 책벌레들 : 7명의 위인들이 들려주는 특별한 독서 비법!,"김문태, 이량덕",뜨인돌어린이,2007,
1045,BSL00691,세상을 바꾼 위대한 책벌레들,"김문태 글,이량덕 그림",뜨인돌어린이,2006,
1046,BSL00692,마법의 설탕 두 조각,"미하엘 엔데 글,진드라 차페크 그림,유혜자 옮김",소년한길,2002,
1047,BSL00693,둥글이의 선물,"브라이언 홀 저,조셉 오스번 공저,이미림 역",분도출판사,1997,
1048,BSL00694,140자 소설  : 세상에서 가장 짧고 기발한 99가지 특별한 이야기,"곽재식,그린이: 방아깨비",구픽,2016,
1049,BSL00695,지금 나는 사랑하러 갑니다  : 박완서 외 9인 소설집  : 여성 작가들의 진솔한 사랑이야기,"박완서,우애령,유춘강,유덕희,김정희,권혜수,노순자,박재희,이남희,조양희",예감,2010,
1050,BSL00696,(인문학으로 만나는) 몸 공부  : 노자사상으로 배우고 황제에게 듣는 몸의 원리,차경남 지음,글라이더,2016,
1051,BSL00697,"지능의 탄생  = ,The birth of intelligence  : RNA에서 인공지능까지",이대열,바다출판사,2017,
1052,BSL00698,동의보감 디톡스  : 디톡스 열풍 속에 모두가 놓치고 있는 해독의 비밀,방성혜,리더스북 ;,파주 :,
1053,BSL00699,(신재용의) 新 동의보감,신재용,북플러스,2012,
1054,BSL00700,칠7년의 밤,정유정 지음,은행나무,2011,
1055,BSL00701,대지,"펄 벅 지음,안정효 옮김",문예출판사,2016,
1056,BSL00702,아내가 결혼했다  : 박현욱 장편소설,박현욱,문학동네,2013,
1057,BSL00703,몸과 여자들  : 이서수 소설,이서수,H(현대문학),2023,
1058,BSL00704,남극해,이윤길 지음,전망,2021,
1059,BSL00705,"달려라,  아비",김애란 지음,창비,2021,
1060,BSL00706,한국 단편소설  : 그냥 읽는 한국문학,"이광수,신채호,나도향,이익상,백신애,심훈",율나무,2019,
1061,BSL00707,나는 무늬  : 김해원 장편소설,김해원,낮은산,2021,
1062,BSL00708,소년은 늙지 않는다 :  김경욱 소설집,김경욱 지음,문학과지성사,2016,
1063,BSL00709,"행복한 사람,  타샤 튜더","타샤 튜더 지음,리처드 브라운 사진,공경희 옮김",윌북,2023,
1064,BSL00710,누군가 아픈 밤,정인,세종페이퍼,2021,
1065,BSL00711,누가 이슬람을 지배하는가 : 세계사를 뒤흔든 중동의 거대한 바람,류광철 지음,말글빛냄,2018,
1066,BSL00712,"광해군,  그 위험한 겨울",오향녕 지음,너머북스,2014,
1067,BSL00713,"다이어트의 여왕,전자책",백영옥 지음,문학동네(서울,2011,
1068,BSL00714,실연당한 사람들을 위한 일곱시 조찬 모임 : 백영옥 장편소설,백영옥 지음,자음과모음,2017,
1069,BSL00715,"아이 러브 유 = ,Everyone Says I Love You : 이미나 멜로 드라마",이미나 지음,웅진씽크빅,2007,
1070,BSL00716,신참자,"히가시노 게이고 지음,김난주 옮김",재인,2012,
1071,BSL00717,"지금,  만나러 갑니다","이치카와 다쿠지 지음,양윤옥 옮김",RHK(알에이치코리아),2018,
1072,BSL00718,해를 품은 달  : 정은궐 장편소설,정은궐 지음,파란미디어,2012,
1073,BSL00719,해를 품은 달,정은궐 지음,파란,2012,
1074,BSL00720,백설공주에게 죽음을,"넬레 노이하우스 지음,김진아 옮김",북로드,2011,
1075,BSL00721,"아렌트 읽기  : 전체주의의 탐험가,  삶의 정치학을 말하다","엘리자베스 영-브루엘 지음,서유경 옮김",웅진씽크빅,2013,
1076,BSL00722,만물은 서로 돕는다 : 크로포트킨의 상호부조론,"P.A. 크로포트킨 지음,김영범 옮김",르네상스,2014,
1077,BSL00723,(행복한 죽음을 위한) 조념염불법  : 임종삼대요·임종혹문·조념염불실용문답,"정전,보정 편역",비움과소통,2016,
1078,BSL00724,(혜능)육조단경,"혜능 지음,단칭선사 풀어씀,김진무 옮김",일빛,2011,
1079,BSL00725,산사로 가는 즐거움,현종,공감,2013,
1080,BSL00726,붓다를 죽인 부처  : 깨달음의 탄생과 혁명적 지성,박노자 지음,인물과사상사,2012,
1081,BSL00727,"그리스 로마 신화,  그림으로 읽기","루치아 임펠루소 지음,이종인 옮김",예경,2014,
1082,BSL00728,천천히 더 천천히,월명 지음,희망꽃,2015,
1083,BSL00729,내 눈속에 한의학 혁명,박성일,천년의 상상,2012,
1084,BSL00730,하루 10분 일광욕 습관,"우쓰노미야 마쓰아키 지음,성백희 옮김",전나무숲,2013,
1085,BSL00731,처음 시작하는 미니멀 라이프 : 매일 더 행복해지는 감성 미니멀 홈스타일링,선혜림 지음,anglebooks(앵글북스),2018,
1086,BSL00732,고마워 내 아이가 되어줘서,"조선미...등저,한겨레 베이비트리 엮음",북하우스 퍼블리셔스,2016,
1087,BSL00733,(암·성인병을 극복하는) 야채수프 건강법,"다테이시 카즈 지음,문원북 편집부 엮음",문원북,2012,
1088,BSL00734,밥상 위의 항암식품  : 우리집 밥상에서 찾아낸 최고의 항암식품 총공개,이승혁 저,건강다이제스트사,2009,
1089,BSL00735,프랑스 부모들은 권위적으로 양육한다  : 맞벌이 부모들을 위한 맞춤형 양육법,"프레데릭 코크만 지음,이성엽 옮김",맑은숲,2014,
1090,BSL00736,(라마찬드란 박사의)두뇌 실험실,"빌라야누르 라마찬드란,샌드라 블레이크스리 같이지음,신상규 옮김",바다출판사,2009,
1091,BSL00737,잡초의 재발견,"조지프 코캐너,옮긴이: 구자옥",우물이있는집,2014,
1092,BSL00738,제3의 침팬지,"재레드 다이아몬드 지음,김정흠 옮김",문학사상사,2014,
1093,BSL00739,생명과학이 이렇게 쉬울 리 없어,"윤자영,일러스트: 백용원",생각학교,2022,
1094,BSL00740,수학귀신 : 수학을 싫어하는 한 소년이 수학의 원리를 깨우치기까지,"H.M. 엔첸스베르거 글,R.베르너 그림,고영아 옮김",비룡소,2008,
1095,BSL00741,미생물의 참모습  : 마이크로바이옴에서 크리스퍼까지,"파스칼 코사르 저,장철훈,박형섭 역",부산대학교출판문화원,2022,
1096,BSL00742,(처음 읽는) 식물의 세계사  : 인간의 문명을 정복한 식물 이야기,"리처드 메이비 지음,김영정 옮김",탐나는책,2022,
1097,BSL00743,"미래세대를 위한 과학 융합교육  = ,Integrated science education for future generation",남윤경 저,부산대학교출판문화원,2022,
1098,BSL00744,"유전의 문화사  = ,A cultural history of heredity","슈타판 뮐러빌레,한스외르크 라인베르거 저,현재환 역",부산대학교출판문화원,2022,
1099,BSL00745,"물리학,  쿼크에서 우주까지  : 세상을 움직이는 법칙을 찾아서",이종필 지음,김영사,2023,
1100,BSL00746,우리는 결국 지구를 위한 답을 찾을 것이다  : 지구와의 공존을 모색하는 가장 쉬운 기후 수업,김백민 지음,블랙피쉬 :백도씨,2021,
1101,BSL00747,금지된 지식  : 역사의 이정표가 된 진실의 개척자들,"에른스트 페터 피셔 지음,이승희 옮김",다산초당 :다산북스,2021,
1102,BSL00748,28  : 정유정 장편소설,정유정 지음,은행나무,2014,
1103,BSL00749,(숨겨진 절대 권력자들의 세계 지배 음모)그림자 정부,이리유카바 최 지음,해냄,2018,
1104,BSL00750,(세계 경제를 조종하는)그림자 정부,이리유카바 최 지음,해냄,2018,
1105,BSL00751,내 몸의 건강 유전자를 깨워라  : 100세까지 건강하게 사는 내 몸 건강법,현용권 지음,모시는사람들,2018,
1106,BSL00752,당뇨 고혈압 완치 성공프로그램 : 당뇨·고혈압을 이긴 사람들의 체험기,김태석 지음,다문,2015,
1107,BSL00753,"나쁜 것들의 좋은 소식,  좋은 것들의 나쁜 소식  : '당신이 알고 있는 건강상식은 가짜다!'","제프 윌서 지음,김아림 옮김",홍익출판사,2016,
1108,BSL00754,피아니스트의 뇌  : 뇌 과학으로 풀어낸 음악과 인체의 신비,"후루야 신이치 지음,홍주영 옮김",끌레마,2016,
1109,BSL00755,(노화 연구의 세계적인 권위자 유병팔 교수의) 125세 건강 장수법,유병팔 지음,에디터,2017,
1110,BSL00756,기적의 시력 회복법 : 뇌를 자극해서 시력이 좋아지는 눈 운동법 47가지,"나카가와 카즈히로 지음,오나영 옮김",청림Life,2015,
1111,BSL00757,"노화는 세포건조가 원인이다  : 원인 모를 통증부터 치매까지,  예방하고 치유하는 웰에이징 건강법","이시하라 유미 지음,윤혜림 옮김",전나무숲,2017,
1112,BSL00758,"(암,  고혈압,  당뇨 잡는) 체온 1도",선재광 지음,다온북스,2015,
1113,BSL00759,"특허는 어떻게 돈이 되는가 = ,intellectual property & money",문춘오 지음,미래지식,2016,
1114,BSL00760,아내를 모자로 착각한 남자,"올리버 색스 지음,조석현 옮김,이정호 그림",alma :알마,2020,
1115,BSL00761,l 더하기 1은 2인가 : 가장 단순한 수식으로 묻는 수학의 본질,"존 배로 지음,김희봉 옮김",김영사,2022,
1116,BSL00762,지구의 절반 생태 : 생명의 터전을 지키기 위한 제안,"에드워드 윌슨 지음,이한음 옮김",사이언스북스,2017,
1117,BSL00763,"휴가 갈 땐,  주기율표 :  일상과 주기율표의 찰떡 케미스토리",곽재식 지음,초사흘달,2022,
1118,BSL00764,나무의 시간 : 내촌목공소 김민식의 나무 인문학,김민식 지음,bB.read(브.레드),2019,
1119,BSL00765,"산에도 역사가 있다 : 우리 산,  땅의 자취 답사기",손동운 외 지음,부산대학교 출판부,2005,
1120,BSL00766,(재밌어서 밤새읽는)화학 이야기,"사마키 다케오 지음,김정환 옮김",더숲,2020,
1121,BSL00767,한국의 산나물 들나물 334가지,편저: 동의보감 약초사랑,꿈이있는집플러스,2024,
1122,BSL00768,당신만 몰랐던 매혹적인 바다이야기 27  : 알고 보면 신기하고 재미있는 sea story,고명석,청미디어,2020,
1123,BSL00769,나뭇잎 아저씨,"로이스 엘럿 글·그림,곽미영 옮김",대교,2015,
1124,BSL00770,분리수거하는 날,"에드워드 밀러 글·그림,김혜진 옮김",대교,2015,
1125,BSL00771,머릿속이 궁금해,"다카하시 유지 글,야규 겐이치로 그림,김정화 옮김",Daekyo(대교),2015,
1126,BSL00772,거미가 집을 지어요,"고바야시 도시키 글,이시바시 마키코 그림,서지연 옮김",Daekyo(대교),2015,
1127,BSL00773,일하는 자동차 출동!,"윌리엄 로 글·그림,장미란 옮김",Daekyo(대교),2015,
1128,BSL00774,똥 박사님의 동물 똥 연구소,"야마와키 교 글,하타 고시로 그림,김정화 옮김",Daekyo(대교),2015,
1129,BSL00775,별을 보는 할아버지,"모리나오 글·그림,이태용 옮김",Daekyo(대교),2015,
1130,BSL00776,지구가 뜨거워지면,"브렌다 기버슨 글,차드 월리스 그림,송미영 옮김",Daekyo(대교),2015,
1131,BSL00777,내가 최고 공룡이야,"브렌다 기버슨 글,게나디 스피린 그림,송미영 옮김",Daekyo(대교),2015,
1132,BSL00778,태양 빛은 어디로 갈까?,"몰리 뱅 글·그림,최순희 옮김",Daekyo(대교),2015,
1133,BSL00779,영양 만점 음식 대행진  : 음식이 가득한 건강한 책,"엘리시아 카스탈디 글·그림,김혜진 옮김",Daekyo(대교),2015,
1134,BSL00780,작은 생명들의 노래,"캐럴 거버 글,유진 옐친 그림,엄혜숙 옮김",Daekyo(대교),2015,
1135,BSL00781,손톱은 대단해,"소년사진신문사 글,나카야마 시게코 그림,전희정 옮김",Daekyo(대교),2015,
1136,BSL00782,우리 몸은 따뜻해,"소년사진신문사 글,다카타 가오리 그림,전희정 옮김",Daekyo(대교),2015,
1137,BSL00783,뼈가 쑥쑥 키가 쑥쑥,"소년사진신문사 글,오쿠보 도모히로 그림,류화선 옮김",Daekyo(대교),2015,
1138,BSL00784,작은 구름의 여행,"톰 리흐텐헬트 글·그림,엄혜숙 옮김",Daekyo(대교),2015,
1139,BSL00785,아주 특별한 동물원,"니시오카 리키 글·그림,이태용 옮김",Daekyo(대교),2015,
1140,BSL00786,"흥,  나를 잡아먹겠다고?","스티브 젱킨스 글·그림,곽미영 옮김",Daekyo(대교),2015,
1141,BSL00787,무엇이 세상에서 가장 클까요?,"로버트 웰스 글·그림,엄혜숙 옮김",Daekyo(대교),2015,
1142,BSL00788,공룡이 마신 물을 내가 마셨다고요?,"로버트 웰스 글·그림,송미영 옮김",Daekyo(대교),2015,
1143,BSL00789,서로 돕고 사는 동물들,"호세 아루에고,아리안 듀이 글·그림,황지영 옮김",Daekyo(대교),2015,
1144,BSL00790,그림자는 흉내쟁이,"나카가와 마사후미 글,호리우치 세이치 그림,전희정 옮김",Daekyo(대교),2015,
1145,BSL00791,아이스 크리스마스,"오리타 미치요 글,야마다 가쓰야 그림,서지연 옮김",Daekyo(대교),2015,
1146,BSL00792,배꼽의 비밀,"야규 겐이치로 글·그림,서지연 옮김",Daekyo(대교),2015,
1147,BSL00793,흡 들이쉬고 후 내쉬고,"사카이 오사무 글·그림,고향옥 옮김",Daekyo(대교),2015,
1148,BSL00794,하하하 튼튼한 이,"가코 사토시 글·그림,전희정 옮김",Daekyo(대교),2015,
1149,BSL00795,가장 빠른 달리기,"아베 가오루 글,호리우치 세이치 그림,전희정 옮김",Daekyo(대교),2015,
1150,BSL00796,"찾았다,  북두칠성!","후지에다 미오코 글,쓰지무라 마스로 그림,전희정 옮김",Daekyo(대교),2015,
1151,BSL00797,씨앗들의 작전,"이나가키 히데히로 글,이마키 미치 그림,전희정 옮김",Daekyo(대교),2015,
1152,BSL00798,작은 곤충들의 세계,"도쿠다 유키히사 글,다카하시 기요시 그림,류화선 옮김",Daekyo(대교),2015,
1153,BSL00799,빛보다 빠른 것은 무엇일까?,"원작: 로버트 프로먼, 아마노 유키치, 아베 히로시, 류화선",Daekyo(대교),2015,
1154,BSL00800,고구마를 키워요,"고미야마 나미오 글·그림,김정화 옮김",Daekyo(대교),2015,
1155,BSL00801,신발이 울퉁불퉁,"모모키 이치로 글·그림,고향옥 옮김",Daekyo(대교),2015,
1156,BSL00802,바람,"요시노 마사아키 글·그림,전희정 옮김",Daekyo(대교),2015,
1157,BSL00803,"판다야,  안녕","이와고 미쓰아키 글·사진,황지영 옮김",Daekyo(대교),2015,
1158,BSL00804,장난감 병원,"가사노 유이치 글·그림,서지연 옮김",Daekyo(대교),2015,
1159,BSL00805,철새 새미의 기나긴 비행,"얀 손힐 글,김소연 그림,김혜진 옮김",Daekyo(대교),2015,
1160,BSL00806,숲 속 숨바꼭질,"헨리 콜 글·그림,황지영 옮김",Daekyo(대교),2015,
1161,BSL00807,단풍나무가 자라요,"로리 니콜스 글·그림,곽미영 옮김",Daekyo(대교),2015,
1162,BSL00808,붉은바다거북의 고향은 어디일까?,"니콜라 데이비스 글,제인 채프먼 그림,박은호 옮김",Daekyo(대교),2015,
1163,BSL00809,이모의 결혼식,선현경 글·그림,비룡소,2019,
1164,BSL00810,행복을 전하는 편지,"안소니 프랑크 글,티파니 비키 그림,최순희 옮김",시공주니어,2015,
1165,BSL00811,앤디와 사자,"제임스 도허티 글·그림,이선아 옮김",시공주니어,2015,
1166,BSL00812,리디아의 정원,"사라 스튜어트 글,데이비드 몰 그림,이복희 옮김",시공주니어:시공사,2015,
1167,BSL00813,즐거운 로저와 대머리 해적 압둘,"콜린 맥노튼 글·그림,김미경 옮김",시공주니어,2015,
1168,BSL00814,"세계 여행을 떠난 펭귄,  화이트블랙","한스 아우구스토 레이,마르그레트 레이 공글·그림,햇살과나무꾼 옮김",시공주니어,2015,
1169,BSL00815,덱스터와 배고픈 괴물,"조엘 스튜어트 글·그림,김세실 옮김.",시공주니어,2015,
1170,BSL00816,에이 프릴의 고양이,클레어 터레이 뉴베리 그림,시공주니어,2016,
1171,BSL00817,따르릉 따르릉 비켜나세요!,"한스 아우구스토 레이 그림／글,이선아 옮김",시공주니어 :시공사,2014,
1172,BSL00818,외톨이가 된 꼬마 팀,"에드워드 아디존 그림·글,장미란 옮김",시공주니어,2016,
1173,BSL00819,사냥꾼 하나,"팻 허친즈 글.그림,홍연미 옮김",시공주니어,2015,
1174,BSL00820,아기양 딜라일라,"존 베멀먼즈 마르시아노 글·그림,지혜연 옮김",시공주니어,2015,
1175,BSL00821,(제프리 초서의) 챈티클리어와 여우 87,"바버러 쿠니 개작·그림,박향주 옮김",시공주니어,2016,
1176,BSL00822,잃어버린 말,"에드 영 글·그림,최순희 옮김",시공주니어,2015,
1177,BSL00823,"용이 사는 섬,  코모도","피터 시스 글.그림,장미란 옮김",시공주니어,2014,
1178,BSL00824,비밀 파티,"존 버닝햄 지음,이상희 옮김",시공주니어 :시공사,2016,
1179,BSL00825,참파노와 곰  : 야노쉬가 들려 주는 옛이야기,"야노쉬 글·그림,전희경 옮김",시공주니어,2015,
1180,BSL00826,무지개 물고기!,"마르쿠스 피스터 그림·글,공경희 옮김",시공주니어,2017,
1181,BSL00827,플로리안과 트랙터 막스,"비네테 슈뢰더 글·그림,엄혜숙 옮김",시공주니어,2015,
1182,BSL00828,부엉이와 보름달,"제인 욜런 글,존 쇤헤르 그림,박향주 옮김",시공주니어,2016,
1183,BSL00829,"무지개 물고기 시리즈 4- 용기를 내,  무지개 물고기!","마르쿠스 피스터 글.그림,우미경 옮김",시공주니어,1996,
1184,BSL00830,일곱 마리 눈먼 생쥐,"에드 영 글.그림,최순희 옮김",시공주니어,1999,
1185,BSL00831,작은 병정,"폴 페렙트 글·그림,조수경 옮김",시공주니어,2015,
1186,BSL00832,할머니가 남긴 선물,"마거릿 와일드 글,론 브룩스 그림,최순희 옮김",시공주니어,2016,
1187,BSL00833,내가 만난 꿈의 지도,"유리 슐레비츠 글·그림,김영선 옮김",시공주니어,2014,
1188,BSL00834,나에게 정원이 있다면,"케빈 헹크스 글·그림,최순희 옮김",시공주니어,2015,
1189,BSL00835,사자와 마녀와 옷장,"루이스 원작,히아윈 오람 글,튜더 험프리스 그림,햇살과나무꾼 옮김.,164",시공주니어,2014,
1190,BSL00836,나는 작은 배의 용감한 선장,"유리 슐레비츠 글·그림,최순희 옮김",시공주니어,2015,
1191,BSL00837,티모시의 장난감,"헬렌 쿠퍼 글·그림,이명자 옮김",한국삐아제,2006,
1192,BSL00838,똑바로 동물 병원,"김남중 글,국지승 그림",구몬학습 :교원 All story,2012,
1193,BSL00839,강아지똥,"권정생 글,정승각 그림.,1",길벗어린이,2010,
1194,BSL00840,헨젤과 그레텔,"원작: 그림 형제,새로  김유중, 김순호",교원 :구몬학습,c201,
1195,BSL00841,우리가 안 그랬어요!,"임승희 글,박정훈 그림",구몬학습 :교원 All story,2012,
1196,BSL00842,단군 신화,"일연 원작,정우잔 새로엮음,노성빈 그림",구몬학습 :교원 All story,2012,
1197,BSL00843,꼬질꼬질 특공대,"정지인 글,이희탁 그림",구몬학습 :교원 All story,2012,
1198,BSL00844,숲 속 학교 운동회,"김혜영 글,권영묵 그림",구몬학습 :교원 All story,2012,
1199,BSL00845,호기심 많은 흰동가리,"에릭 매던 글,아드리엔느 케나웨이 그림,윤혜정 옮김",한국삐아제,2006,
1200,BSL00846,산타에게 보내는 편지,"하이어윈 어람 글,토니 로스 그림,민수현 옮김",한국삐아제,2006,
1201,BSL00847,공룡 시대로의 시간여행,"마이클 포어먼 글·그림,민수현 옮김",한국삐아제,2006,
1202,BSL00848,사람들은 사자를 좋아할까요?,"글· 캐디 맥도날드 덴튼, 김예실",한국삐아제,2006,
1203,BSL00849,마법사의 아이들,"우르술라 존스 글,러셀 에이토 그림,오연정 옮김",한국삐아제,2006,
1204,BSL00850,말썽꾸러기 아기 토끼들,"이안 위브로 글,마이클 테리 그림,김귀경 옮김",한국삐아제,2006,
1205,BSL00851,꼬마 오랑우탄 탱,"샐리 그린들리 글,존 버틀러 그림,안지혜 옮김",한국삐아제,2006,
1206,BSL00852,운 좋은 강아지 머키,"켄 브라운 글·그림,김귀경 옮김",한국삐아제,2006,
1207,BSL00853,"찾았다,  아기 웜뱃!","안젤라 맥앨리스터 글,샤를 퓌주 그림,이지예 옮김",한국삐아제,2006,
1208,BSL00854,뜨거운 지구,"애나 클레이본 글,김선영 옮김",푸른숲주니어:푸른숲,2021,
1209,BSL00855,눈사람 아저씨,"룩 데폰드 글,후리도 판 헤네흐텐 그림,김성수 옮김",한국삐아제,2006,
1210,BSL00856,용감한 어릿광대,"룩 데폰드 글,후리도 판 헤네흐텐 그림,김성수 옮김",한국삐아제,2006,
1211,BSL00857,할아버지 댁에 갈래요!,"이언 위브로 글,사라 마시니 그림,조선영 옮김",한국삐아제,2006,
1212,BSL00858,코알라처럼 꼭 붙어 있을 수 있나요?,"존 버틀러 글·그림,이명자 옮김",한국삐아제,2006,
1213,BSL00859,과학하는 마음 : 매일의 실패를 넘어 경이와 호기심의 세계로,전주홍 지음,바다출판사,2022,
1214,BSL00860,수학이 보이는 가우디 건축여행,문태선 지음,궁리,2022,
1215,BSL00861,"나는 나무에게 인생을 배웠다  : 세상에서 가장 나이 많고 지혜로운 철학자,  나무로부터 배우는 단단한 삶의 태도들  = ,I learned life from trees : the essential life lessons from trees,  the oldest and wisest philosophers in the world","우종영 지음,한성수 엮음",메이븐,2019,
1216,BSL00862,식물에게 배우다,최미애 지음,바른북스,2022,
1217,BSL00863,꿀벌의 숲속살이  : 야생 꿀벌은 어떻게 살아갈까,"토머스 D. 실리 지음,조미현 옮김",에코리브르,2021,
1218,BSL00864,"(슬기로운) 남극 물고기  = ,The story of Antarctic fish",김진형 지음,지오북,2022,
1219,BSL00865,(전은지 선생님이 들려주는) 도전! 우주 미션,"전은지 글,김다정 그림",우리학교,2020,
1220,BSL00866,"자연의 역습,  감염병","김양중 글,이경국 그림",미래아이 :미래M&B,2020,
1221,BSL00867,난장마녀 꽃목걸이,"글쓴이: 김여나,그린이: 고현경",모해출판사,2024,
1222,BSL00868,(맛? 건강?) 또 다른 문화 한류를 이끄는 한식  : 한식으로도 한류 열풍을 일으키고 있다고?,"글쓴이: 이상미,그린이: 김창희",뭉치 :동아엠앤비,2022,
1223,BSL00869,"공기,  어디나 있어!","최설희 글,이해정 그림",키큰도토리,2022,
1224,BSL00870,바다를 살리는 비치코밍 이야기  : 플라스틱 쓰레기로 뒤덮인 바다를 구하라!,"화덕헌 글,이한울 그림",썬더키즈 :썬더버드,2019,
1225,BSL00871,지구를 구하는 발명책,"유다정 지음,김소희 그림",봄나무(한즈미디어),2019,
1226,BSL00872,"어쩌면,","이원경 글, 신기영 그림",한그루,2024,
1227,BSL00873,특별한 날 특별한 동화  : 최도영 창작동화,"최도영 지음,그린이: 김민우",별숲,2024,
1228,BSL00874,아이샤의 돌멩이,"조종순 지음,유시연 그림",우리교육,2024,
1229,BSL00875,천 번 마법,"김선 글,한호진 그림",주니어김영사,2024,
1230,BSL00876,"문학나눔,모험을 떠나는 단추로부터","차영미 시,이한재 그림",단비어린이,2024,
1231,BSL00877,"거기,  있나요?  : 이필원 소설","이필원,그린이: 조승연",낮은산,2023,
1232,BSL00878,우렁 소녀 발차기,"황선애 글,서영 그림",스푼북,2024,
1233,BSL00879,"잃어버린 코  = ,Lost nose  : 박선미 동시집","박선미,일러스트: 박지영",청개구리,2023,
1234,BSL00880,"문학나눔,우리 나가 놀자",루시 지음,미디어창비,2023,
1235,BSL00881,"문학나눔,미래에서 내 짝꿍이 왔다!","김보경 글,김정진 그림",꿈터,2024,
1236,BSL00882,책방거리 수사대 : 한양풍문기의 진실 : 고재현 창작동화,"고재현 지음,인디고 그림",사계절:사계절출판사,2024,
1237,BSL00884,진짜 가족이 되어 주세요,"강미경 글,김수영 그림",아롬주니어,2024,
1238,BSL00885,"문학나눔,코야옹 상담소의 마송이","정현혜 글,심보영 그림",오늘책,2024,
1239,BSL00886,노래 꼬리 잡으면 이야기가 시작돼!,"곽미영 글,남주현 그림",만만한책방,2024,
1240,BSL00887,"떨어진 한쪽,  큰 동그라미를 만나","쉘 실버스타인 글.그림,이재명 옮김",시공주니어,2007,
1241,BSL00888,(만나고 싶은) 북한 동물 사전,"임권일 글,이곤 그림",창비,2022,
1242,BSL00889,꽃들도 뽀뽀를 할까? : 더책,"세바스티앵 페레즈 글,안로르 파로 그림,이세진 옮김",미디어창비,2022,
1243,BSL00891,고릴라에게서 평화를 배우다,"김황 글,김은주 그림",논장,2019,
1244,BSL00892,태구는 이웃들이 궁금하다,"이선주 글,국민지 그림",주니어RHK :알에이치코리아,2024,
1245,BSL00893,핫스팟을 켜라,"김영인 글,김상균 그림",,:책고래,
1246,BSL00894,빙하섬을 지켜 주세요,이새미 글그림,파란정원,2021,
1247,BSL00895,외딴 집 외딴 다락방에서,"필리파 피어스 글,앤서니 루이스 그림,햇살과나무꾼 옮김",논장,2020,
1248,BSL00896,"안 돼요,  안 돼! : 좋아요,  좋아!","차보금 글,황유정 그림",삼성출판사,2010,
1249,BSL00897,"목화,  너도나도 입지만 너무나도 몰라요!","예영 글,지문 그림",,초등학생,
1250,BSL00898,환경을 지키는 지속 가능한 패션 이야기,"정유리 글,박선하 그림",팜파스,2022,
1251,BSL00899,"지금은 지구를 구할 시간  : 미세 플라스틱과 미세 먼지,  온난화로 고통받는 생태계 이야기","오승현 글,박단희 그림",씨드북,2022,
1252,BSL00900,우리는 왜 인종차별주의자가 될까?  : 인종차별이라는 혐오에 맞서 우리가 이해해야 할 것,"이즈마엘 메지안느,카롤 레이노-팔리고,에블린 에이에르 지음,강현주 옮김",청아출판사,2021,
1253,BSL00901,지구가 좌충우돌,"오주영, 심보영",상상의집 :루크하우스,2018,
1254,BSL00902,뚝딱뚝딱 집 짓는 동물들,"프랑수아즈 로랑 글,카퓌신 마질 그림,이정주 옮김",개암나무,2020,
1255,BSL00903,"내가 최고!,전자책",허은실 저,삼성출판사,2007,
1256,BSL00904,난 잠자기 싫어!,"토니 로스 글·그림,배정인 옮김",한국삐아제,2006,
1257,BSL00905,어떻게 좋을 수 있겠어요!,"블라스타 반 캄펜 글·그림,박승범 옮김",한국삐아제,2006,
1258,BSL00906,황새 제이콥의 긴 여행,"이반 간츠체프 글·그림,윤선아 옮김",한국삐아제,2006,
1259,BSL00907,진흙은 케이크야~,"팸 무노즈 라이언 글,데이비드 맥파일 그림,이혜옥 옮김",한국삐아제,2006,
1260,BSL00908,아기판다 피슈,"존 버틀러 글·그림,윤혜정 옮김",한국삐아제,2006,
1261,BSL00909,구름빵,"백희나,  김향수 글 그림",한솔수북:한솔교육,2012,
1262,BSL00910,이웃  : 김성미 그림책,김성미,책읽는곰,2024,
1263,BSL00911,안다옹 박사의 과학 탐험대,"도미니크 윌리먼 글,벤 뉴먼 그림,유윤한 옮김",책읽는곰,2019,
1264,BSL00912,나는 고양이라고!,"사노 요코 글.그림,이선아 옮김",시공주니어,2008,
1265,BSL00913,팥죽 할머니와 호랑이 몽골어 공동표기,"조대인 글,최숙희 그림",보림,2007,
1266,BSL00914,귀신을 꺾은 밀본 법사,"일연 지음,서혜림 엮음,안선형 그린이",한국헤밍웨이,2004,
